Year,Area,Production,Yield,Rural_Population,Employment,Rainfall,Export_Value,India_GDP,Agriculture_perc_GDP,Agriculture_GDP,Credit_Disbursed_Perc,Credit_Disbursed_amount,Outstanding_Credit_Perc,Outstanding_Credit_amount,LokSabha_Elections,Arable_Land,Machinery,Fertiliser_Consumption,FDI_amount,PubSB_NPA,PrivSB_NPA,Rainfall_deviation
1960,115.58,82,710,82.08,75.9,1154.8,0.52,37.03,42.56,15.76,0,0,0,0,No,155.8,,,,0,0,23
1961,117.23,82.7,706,81.97,75.35,1399.2,0.55,39.23,41.77,16.39,3,0.49,0,0,No,155.8,1.991,,,0,0,36
1962,117.84,80.2,680,81.78,74.8,1198,0.62,42.16,39.89,16.82,4,0.67,1,0.17,Yes,156.7,2.234,,,0,0,26
1963,117.42,80.6,687,81.6,74.1,1220.9,0.74,48.42,41.07,19.88,4,0.8,2,0.4,No,157.47,2.54,,,0,0,27
1964,118.11,89.4,757,81.4,73.67,1244.4,0.72,56.48,42.96,24.26,5,1.21,3,0.73,No,157.73,2.79,,,0,0,28
1965,115.1,72.4,629,81.21,73.5,947.4,0.67,59.55,40.91,24.36,5,1.22,5,1.22,No,158.22,3.034,,,0,0,6
1966,115.3,74.2,644,81.02,73.2,1058,0.6,45.87,41.81,19.17,5,0.96,6,1.15,No,158.59,3.406,,,0,0,16
1967,121.42,95.1,783,80.83,72.9,1154,0.62,50.13,44.52,22.32,5,1.12,7,1.56,Yes,159.78,4.131,,,0,0,23
1968,120.43,94,781,80.63,72.6,1059.3,0.62,53.09,43.52,23.1,5,1.16,8,1.85,No,160.07,4.873,,,0,0,16
1969,123.57,99.5,805,80.44,72.12,1147.8,0.57,58.45,43.28,25.3,5,1.27,9,2.28,No,159.98,5.626,,,0,0,22
1970,124.32,108.4,872,80.24,72,1255,0.66,62.42,41.95,26.18,5,1.31,10,2.62,Yes,160.56,6.228,,,0,0,29
1971,122.62,105.2,858,80.01,71.8,1216.9,0.7,67.35,40.28,27.13,5.5,1.49,10,2.71,No,159.76,8.951,,,0,0,27
1972,119.28,97,813,79.68,71.67,947.1,0.78,71.46,40.28,28.78,5.5,1.58,11,3.17,No,160.19,10.613,,,0,0,6
1973,126.54,104.7,827,79.35,71.5,1219.5,1.02,85.52,43.31,37.04,5.5,2.04,12,4.44,No,161.04,11.444,,,0,0,27
1974,121.08,99.8,824,79.01,71.32,1055.3,1.38,99.53,40.31,40.12,5,2.01,10,4.01,No,161.5,12.591,,,0,0,16
1975,128.18,121,944,78.67,71.13,1294.8,1.67,98.47,37.62,37.04,4.5,1.67,9.5,3.52,No,161.84,14.068,,,0,0,31
1976,124.36,111.2,894,78.32,71,1131.6,1.73,102.72,35.75,36.72,5,1.84,10,3.67,No,162.06,15.481,,,0,0,21
1977,127.52,126.4,991,77.97,70.77,1269.7,1.94,121.49,37.09,45.06,6.5,2.93,12,5.41,Yes,162.06,18.161,,,0,0,30
1978,129.01,131.9,1022,77.62,70.5,1237.2,1.76,137.2,35.47,48.66,6,2.92,11,5.35,No,163.24,20.469,,,0,0,28
1979,125.21,109.7,876,77.26,70.68,1030.2,2.18,152.99,33.62,51.43,7,3.6,13.5,6.94,No,163.44,23.171,,,0,0,14
1980,126.67,129.6,1023,76.9,70.45,1182.3,2.47,186.33,35.89,66.87,7.5,5.02,15,10.03,Yes,162.85,23.51,,,0,0,25
1981,129.14,133.3,1032,76.58,69.4,1170.7,2.7,193.49,34.07,65.92,7,4.61,14.5,9.56,No,162.91,25.644,,,0,0,24
1982,125.1,129.5,1035,76.35,68.8,1084.4,2.31,200.72,32.88,65.99,8,5.28,13,8.58,No,163.25,28.274,,,0,0,18
1983,131.16,152.4,1162,76.12,68.04,1320.9,2.33,218.26,33.54,73.2,7.5,5.49,14,10.25,No,162.73,30.884,,,0,0,33
1984,126.67,145.5,1149,75.89,67.65,1160.8,2.26,212.16,32.21,68.34,7.5,5.13,14,9.57,Yes,163.62,33.832,,,0,0,23
1985,128.02,150.4,1175,75.65,67.2,1144.9,2.26,232.51,30.89,71.82,8,5.75,15,10.77,No,163.54,37.164,,,0,0,22
1986,127.2,143.4,1128,75.42,66.5,1137.6,2.38,248.99,29.74,74.04,8.5,6.29,16,11.85,No,163.41,39.712,,,0,0,22
1987,119.69,140.4,1173,75.18,65.3,1088.9,2.33,279.03,29.18,81.42,9,7.33,18,14.66,No,163.21,42.742,,,0,0,18
1988,127.67,169.9,1331,74.94,64.95,1342.1,2.18,296.59,30.2,89.57,9.5,8.51,20,17.91,Yes,162.87,46.107,,,0,0,34
1989,126.77,171,1349,74.69,64.33,1127.4,2.66,296.04,28.97,85.76,7.5,6.43,21,18.01,No,163.48,56.606,,,0,0,21
1990,127.84,176.4,1380,74.45,63.76,1401.4,3.07,320.98,26.9,86.34,8,6.91,19,16.4,No,163.46,60.448,,,0,0,36
1991,121.87,168.4,1382,74.22,63.05,1170.2,2.8,270.11,27.33,73.82,6.5,4.8,18,13.29,Yes,163.18,65.143,,,0,0,24
1992,123.15,179.5,1457,74.02,62.77,1102.7,2.95,288.21,26.67,76.86,6.5,5,16,12.3,No,162.71,69.829,,,0,0,19
1993,122.75,184.3,1501,73.81,62.49,1207.8,3.36,279.3,26.88,75.07,6,4.5,15,11.26,No,162.59,73.5,,,0,0,26
